age_group,gender_id,income_bracket,household_size,commute_minutes,orders_per_week,order_windows,avg_spend_aed,tip_pct,fav_cuisines,spice_level,max_radius_km,diet_style,allergens,pack_sustain_score,traceability_interest,pay_premium_cn,liked_features,sub_bundle_yesno,jar_return_likely,mood_menu_value,chef_live_interest,group_cart_value,reorder_nudge_optin,nps,adoption_timing,max_wait_min,fav_discount,primary_concern,badge_influence
25-34,Man,10-20k,2,17,4-5,Lunch 11-14,28.49,5.7,Arab,3,9.3,Omnivore,None;Eggs,3,3,Yes,Community impact badges;Mood-weather menu;Dynamic off-peak pricing;Reusable-pack rewards,Yes,5,5,3,3,No,10,1-3 months,34,Free dessert add-on,Price,4
25-34,Woman,10-20k,1,69,2-3,Late night 22-02;Breakfast 6-10,74.35,8.7,Western-comfort,3,8.4,Omnivore,Dairy;Nuts,2,5,Yes,AI meal-builder;Mood-weather menu;Freshness alerts;Dynamic off-peak pricing,No,2,4,2,3,Yes,7,Immediately,41,Free delivery,Price,4
35-44,Man,10-20k,5,5,4-5,Dinner 18-22,79.23,9.7,Indian,4,11.7,Low-carb,None,4,4,Maybe,Dynamic off-peak pricing;Chef livestreams & AR plating guides;Reusable-pack rewards;Group cart & split pay,Yes,4,5,4,1,Yes,10,1-3 months,44,Free delivery,Delivery speed,2
25-34,Non-binary,20-35k,3,5,2-3,Dinner 18-22;Late night 22-02;Breakfast 6-10,58.46,11.8,Western-comfort,3,4.3,Omnivore,Dairy,3,2,Yes,Community impact badges;Reusable-pack rewards;AI meal-builder;Chef livestreams & AR plating guides,Yes,3,2,3,4,Yes,7,Immediately,34,Free dessert add-on,Quality trust,4
18-24,Man,10-20k,2,39,2-3,Lunch 11-14;Dinner 18-22,134.31,13.7,Arab,2,5.8,Pescatarian,None;Eggs,4,3,Yes,Freshness alerts;Mood-weather menu,Yes,2,4,3,4,Yes,10,Within 1 month,39,Free dessert add-on,Price,5
35-44,Woman,10-20k,4,46,2-3,Lunch 11-14;Dinner 18-22,104.73,0.0,Arab,4,6.2,Omnivore,None;Nuts,3,2,Maybe,Reusable-pack rewards;Dynamic off-peak pricing;Chef livestreams & AR plating guides;Community impact badges,No,4,5,3,3,Yes,6,Not interested,45,Off-peak % discount,Delivery speed,3
18-24,Man,20-35k,4,13,6+,Dinner 18-22,48.11,19.6,Healthy bowls;Asian-street,3,4.3,Omnivore,Soy;Gluten,4,3,No,Group cart & split pay;Freshness alerts,Yes,3,4,2,5,Yes,10,Within 1 month,48,Free delivery,Delivery speed,1
25-34,Man,5-10k,3,26,6+,Dinner 18-22;Lunch 11-14,43.93,20.3,Healthy bowls;Arab,2,5.6,Omnivore,Dairy;None,4,4,Maybe,Community impact badges;Mood-weather menu,No,4,2,4,5,Yes,1,Immediately,56,Free delivery,Price,3
25-34,Woman,<5k,2,53,2-3,Lunch 11-14,100.34,5.0,Asian-street;Indian,2,7.6,Omnivore,None,4,2,Maybe,AI meal-builder;Dynamic off-peak pricing,Yes,3,3,3,2,Yes,7,Immediately,39,Off-peak % discount,Delivery speed,4
25-34,Man,<5k,2,31,2-3,Snack 14-17,108.28,9.4,Indian,3,9.4,Pescatarian,Gluten;None,4,5,Maybe,Group cart & split pay;Mood-weather menu;Community impact badges;Freshness alerts,Yes,3,3,3,4,No,10,Immediately,40,Loyalty points,Quality trust,3
55+,Non-binary,35k+,5,19,2-3,Lunch 11-14,51.53,11.0,Western-comfort;Indian,4,5.4,Omnivore,None,3,3,No,Group cart & split pay;Community impact badges;Reusable-pack rewards,Yes,4,3,3,4,Yes,1,Immediately,43,Free delivery,Quality trust,3
18-24,Prefer not to say,10-20k,3,10,6+,Dinner 18-22;Snack 14-17,69.56,8.9,Arab;Asian-street;Healthy bowls,1,9.0,Omnivore,Gluten;None,3,4,Maybe,Freshness alerts;Reusable-pack rewards,Yes,4,5,3,2,Yes,6,After friends’ reviews,45,Off-peak % discount,Price,4
45-54,Man,5-10k,6,39,4-5,Lunch 11-14;Late night 22-02,60.01,0.8,Healthy bowls;Asian-street;Indian,1,12.7,Vegan,None;Seafood,2,5,Yes,Mood-weather menu;Dynamic off-peak pricing;Reusable-pack rewards,No,3,5,3,3,No,6,Immediately,65,Free delivery,Price,3
25-34,Man,5-10k,5,16,4-5,Lunch 11-14,48.36,10.4,Healthy bowls;Arab;Indian,1,7.8,Omnivore,Seafood,5,3,Maybe,Mood-weather menu;Reusable-pack rewards;Community impact badges;Chef livestreams & AR plating guides;Group cart & split pay,Yes,5,4,3,3,Yes,8,Within 1 month,15,Free dessert add-on,App ease,3
35-44,Woman,20-35k,2,29,6+,Late night 22-02,36.61,3.1,Arab;Healthy bowls;Desserts / Bakery,2,4.8,Pescatarian,Nuts;None,2,1,Yes,Mood-weather menu;Freshness alerts;Reusable-pack rewards;AI meal-builder,No,4,5,3,4,Yes,10,Not interested,44,Off-peak % discount,Quality trust,3
25-34,Non-binary,35k+,1,22,0-1,Dinner 18-22;Snack 14-17,104.77,6.5,Asian-street;Western-comfort,3,9.7,Omnivore,None,3,4,Maybe,Group cart & split pay;Freshness alerts;Dynamic off-peak pricing;AI meal-builder;Reusable-pack rewards,No,4,3,4,4,Yes,6,After friends’ reviews,43,Off-peak % discount,Price,3
55+,Man,20-35k,2,9,2-3,Lunch 11-14;Dinner 18-22;Snack 14-17,37.76,8.6,Western-comfort,1,11.6,Omnivore,None;Dairy,4,2,Maybe,Community impact badges;Mood-weather menu,No,4,3,3,3,Yes,8,1-3 months,40,Free dessert add-on,Quality trust,5
55+,Man,10-20k,3,35,2-3,Dinner 18-22,49.07,5.4,Indian;Healthy bowls;Western-comfort,1,5.0,Omnivore,None,5,2,No,Dynamic off-peak pricing;Mood-weather menu;Chef livestreams & AR plating guides;Freshness alerts;AI meal-builder,Yes,3,3,2,5,Yes,6,1-3 months,49,Loyalty points,Other,3
35-44,Woman,10-20k,2,40,2-3,Lunch 11-14;Dinner 18-22;Snack 14-17,49.23,3.0,Healthy bowls;Asian-street;Desserts / Bakery,2,10.1,Omnivore,Gluten,3,4,Maybe,Dynamic off-peak pricing;Mood-weather menu;AI meal-builder;Reusable-pack rewards,No,4,3,3,3,No,6,Immediately,45,Free delivery,Other,4
35-44,Man,10-20k,3,5,4-5,Lunch 11-14,67.45,13.3,Desserts / Bakery;Healthy bowls;Western-comfort,2,10.7,Omnivore,None,4,3,Maybe,Community impact badges;Freshness alerts;Group cart & split pay;AI meal-builder,No,4,3,3,4,No,8,1-3 months,15,Off-peak % discount,Quality trust,4
35-44,Man,20-35k,5,15,2-3,Late night 22-02,55.26,3.5,Healthy bowls;Asian-street;Western-comfort,2,7.7,Omnivore,None;Dairy,3,1,Maybe,Mood-weather menu;Reusable-pack rewards;Group cart & split pay;AI meal-builder,Yes,2,3,2,4,Yes,10,Immediately,38,Off-peak % discount,Delivery speed,4
18-24,Woman,10-20k,4,20,2-3,Dinner 18-22,29.8,0.1,Western-comfort,3,10.4,Omnivore,None;Dairy,4,3,Maybe,Reusable-pack rewards;Community impact badges;Dynamic off-peak pricing;Mood-weather menu,No,1,5,2,4,Yes,7,Within 1 month,36,Free delivery,App ease,3
25-34,Man,35k+,4,50,4-5,Lunch 11-14;Dinner 18-22;Late night 22-02,50.48,4.8,Indian;Asian-street;Healthy bowls,4,3.8,Omnivore,None,4,3,Yes,AI meal-builder;Dynamic off-peak pricing;Group cart & split pay;Chef livestreams & AR plating guides;Mood-weather menu,No,4,3,3,1,Yes,7,Within 1 month,44,Off-peak % discount,Packaging waste,5
25-34,Man,10-20k,2,35,0-1,Breakfast 6-10;Snack 14-17,64.54,6.7,Indian;Healthy bowls,4,3.8,Omnivore,None;Seafood,2,2,Yes,Community impact badges;Group cart & split pay;Reusable-pack rewards;Mood-weather menu;Freshness alerts,Yes,2,4,4,4,Yes,3,Immediately,41,Off-peak % discount,Delivery speed,5
55+,Woman,20-35k,3,56,2-3,Lunch 11-14;Breakfast 6-10;Snack 14-17,42.36,0.4,Desserts / Bakery;Western-comfort;Asian-street,3,6.9,Vegan,None;Nuts,4,3,No,Reusable-pack rewards;Dynamic off-peak pricing;AI meal-builder,No,4,4,1,5,No,6,Not interested,51,Free delivery,Delivery speed,3
55+,Woman,<5k,4,32,2-3,Lunch 11-14;Dinner 18-22,81.57,19.2,Arab,3,6.1,Omnivore,None,4,5,Yes,Freshness alerts;Reusable-pack rewards,No,2,4,4,3,Yes,4,Within 1 month,33,Off-peak % discount,Price,3
35-44,Non-binary,<5k,3,64,4-5,Lunch 11-14;Dinner 18-22,54.67,4.2,Desserts / Bakery;Asian-street;Indian,2,3.4,Vegetarian,Nuts,3,3,No,Community impact badges;Group cart & split pay;Reusable-pack rewards;Dynamic off-peak pricing,Yes,2,2,4,4,No,8,1-3 months,28,Free delivery,Price,4
25-34,Woman,5-10k,1,18,0-1,Dinner 18-22;Lunch 11-14,85.49,8.9,Arab,3,8.6,Pescatarian,None;Dairy,2,3,No,AI meal-builder;Chef livestreams & AR plating guides,No,4,4,4,3,No,5,Immediately,33,Free delivery,Other,3
25-34,Man,10-20k,3,33,0-1,Dinner 18-22;Breakfast 6-10,85.17,6.6,Healthy bowls,3,6.8,Vegetarian,None,4,5,No,Dynamic off-peak pricing;AI meal-builder,No,4,3,4,2,No,10,Immediately,36,Loyalty points,Price,4
18-24,Man,5-10k,1,5,0-1,Snack 14-17;Lunch 11-14,34.69,20.1,Asian-street,3,8.1,Vegetarian,None;Gluten,4,3,No,AI meal-builder;Freshness alerts;Mood-weather menu,Yes,3,4,5,2,Yes,3,Immediately,41,Free delivery,Price,4
45-54,Man,20-35k,3,20,2-3,Breakfast 6-10;Dinner 18-22;Late night 22-02,39.69,8.9,Western-comfort;Healthy bowls,1,10.0,Vegetarian,None,3,4,Yes,Group cart & split pay;Community impact badges,Yes,5,5,4,3,No,8,Within 1 month,41,Free delivery,Other,3
25-34,Woman,<5k,3,48,4-5,Dinner 18-22;Snack 14-17,58.78,0.9,Western-comfort;Indian;Desserts / Bakery,2,1.0,Vegetarian,Dairy,4,2,Maybe,Mood-weather menu;AI meal-builder;Community impact badges;Freshness alerts,Yes,4,3,5,5,No,6,Within 1 month,37,Free delivery,Other,2
35-44,Man,10-20k,5,25,2-3,Lunch 11-14;Late night 22-02;Breakfast 6-10,65.85,25.5,Asian-street;Healthy bowls;Desserts / Bakery,1,8.3,Omnivore,None;Seafood,4,2,No,Mood-weather menu;Community impact badges,Yes,5,2,3,4,Yes,6,Not interested,24,Loyalty points,Delivery speed,5
35-44,Woman,5-10k,7,9,2-3,Breakfast 6-10;Dinner 18-22;Lunch 11-14,63.15,11.4,Asian-street,2,9.3,Omnivore,None;Eggs,4,4,Maybe,Mood-weather menu;Group cart & split pay,Yes,5,4,3,3,No,7,Immediately,29,Off-peak % discount,Price,2
35-44,Non-binary,5-10k,5,52,0-1,Lunch 11-14;Late night 22-02,68.84,1.1,Asian-street;Western-comfort,2,6.2,Omnivore,Nuts;Gluten,4,2,Maybe,Mood-weather menu;Reusable-pack rewards;Dynamic off-peak pricing,No,4,3,3,5,Yes,10,Not interested,45,Free delivery,Quality trust,4
45-54,Man,20-35k,3,9,6+,Lunch 11-14;Dinner 18-22;Snack 14-17,33.49,0.0,Indian;Healthy bowls,3,5.9,Omnivore,Dairy;None,5,5,Yes,Chef livestreams & AR plating guides;Freshness alerts;Reusable-pack rewards;Community impact badges;AI meal-builder,Yes,4,4,3,4,Yes,5,Within 1 month,35,Off-peak % discount,Packaging waste,3
35-44,Man,5-10k,4,27,2-3,Lunch 11-14;Dinner 18-22,57.82,7.4,Western-comfort;Arab,3,6.0,Omnivore,Soy;Nuts,3,4,Maybe,Freshness alerts;AI meal-builder;Chef livestreams & AR plating guides,No,3,3,3,4,Yes,7,Immediately,26,Loyalty points,Price,4
35-44,Man,20-35k,3,11,6+,Snack 14-17;Dinner 18-22;Breakfast 6-10,62.67,18.2,Desserts / Bakery;Arab,3,11.6,Vegetarian,None,5,5,Yes,Community impact badges;Mood-weather menu;Reusable-pack rewards;Chef livestreams & AR plating guides,No,3,3,3,2,Yes,8,Not interested,51,Off-peak % discount,Delivery speed,3
55+,Woman,<5k,9,96,2-3,Dinner 18-22;Snack 14-17;Late night 22-02,323.90775,29.087757,Arab,1,6.5,Omnivore,Nuts,4,3,Yes,Chef livestreams & AR plating guides;AI meal-builder,No,2,4,3,2,Yes,7,1-3 months,41,Off-peak % discount,Quality trust,5
45-54,Man,10-20k,4,77,2-3,Snack 14-17;Dinner 18-22,40.44,5.3,Western-comfort;Indian;Asian-street,3,6.6,Omnivore,None,3,5,Yes,AI meal-builder;Group cart & split pay;Freshness alerts,No,2,4,4,3,No,10,Immediately,38,Loyalty points,Price,4
35-44,Woman,20-35k,5,16,2-3,Lunch 11-14,40.17,8.9,Asian-street;Healthy bowls,5,7.0,Omnivore,Seafood;None,4,4,Yes,Dynamic off-peak pricing;Group cart & split pay;Freshness alerts,No,3,5,3,4,Yes,2,Within 1 month,45,Off-peak % discount,Delivery speed,4
25-34,Woman,5-10k,2,17,4-5,Dinner 18-22;Snack 14-17;Lunch 11-14,33.44,13.4,Indian,4,9.6,Omnivore,None,2,4,Yes,Group cart & split pay;Community impact badges,Yes,3,4,3,5,No,8,After friends’ reviews,50,Free delivery,Quality trust,4
45-54,Woman,20-35k,6,27,2-3,Lunch 11-14,41.7,4.0,Western-comfort;Indian,2,5.3,Omnivore,Seafood;None,3,3,Maybe,Community impact badges;Mood-weather menu,No,4,3,2,4,Yes,6,1-3 months,25,Off-peak % discount,Quality trust,2
45-54,Woman,20-35k,3,5,2-3,Lunch 11-14,113.05,13.6,Western-comfort;Healthy bowls;Indian,3,8.5,Vegan,Gluten,3,2,No,Reusable-pack rewards;AI meal-builder;Group cart & split pay,No,5,3,2,2,Yes,5,Within 1 month,40,Off-peak % discount,Price,4
35-44,Woman,20-35k,4,38,2-3,Dinner 18-22,68.12,0.0,Western-comfort;Arab;Healthy bowls,2,10.1,Omnivore,None;Nuts,4,3,Yes,Community impact badges;Mood-weather menu,Yes,2,4,3,4,No,6,Within 1 month,43,Off-peak % discount,Delivery speed,4
18-24,Woman,35k+,5,33,0-1,Lunch 11-14;Dinner 18-22;Snack 14-17,44.63,2.0,Indian;Desserts / Bakery,3,4.9,Omnivore,None;Gluten,5,4,Maybe,Chef livestreams & AR plating guides;Freshness alerts,No,5,4,2,5,Yes,7,Within 1 month,55,Loyalty points,Quality trust,5
25-34,Man,10-20k,6,39,0-1,Dinner 18-22;Lunch 11-14;Breakfast 6-10,70.88,14.2,Indian;Western-comfort;Asian-street,4,7.5,Omnivore,None;Gluten,2,2,Maybe,Chef livestreams & AR plating guides;AI meal-builder;Freshness alerts,Yes,3,5,4,4,Yes,8,1-3 months,40,Free dessert add-on,App ease,5
25-34,Man,20-35k,1,48,2-3,Snack 14-17,36.29,5.4,Asian-street;Western-comfort;Desserts / Bakery,2,9.5,Vegan,Gluten,2,3,Yes,AI meal-builder;Group cart & split pay;Community impact badges,Yes,2,3,3,2,Yes,8,After friends’ reviews,25,Off-peak % discount,Other,2
18-24,Man,20-35k,2,52,0-1,Dinner 18-22;Lunch 11-14,99.51,8.6,Asian-street,2,10.7,Omnivore,Eggs;Dairy,3,4,No,Freshness alerts;Dynamic off-peak pricing,Yes,1,3,4,3,No,3,Within 1 month,52,Loyalty points,Packaging waste,3
25-34,Woman,10-20k,2,73,2-3,Lunch 11-14;Late night 22-02;Dinner 18-22,104.63,4.7,Arab,2,6.2,Pescatarian,None;Gluten,3,5,Yes,Dynamic off-peak pricing;AI meal-builder;Reusable-pack rewards,No,3,3,3,2,Yes,8,After friends’ reviews,31,Off-peak % discount,Packaging waste,3
35-44,Man,20-35k,2,34,6+,Late night 22-02,37.94,11.5,Desserts / Bakery;Asian-street;Western-comfort,3,7.9,Omnivore,None,2,3,Maybe,Mood-weather menu;AI meal-builder;Group cart & split pay,Yes,4,4,3,4,Yes,10,Immediately,19,Free delivery,Price,5
18-24,Woman,5-10k,1,23,2-3,Lunch 11-14;Dinner 18-22;Snack 14-17,62.29,5.3,Indian,3,11.4,Pescatarian,Seafood;Nuts,4,5,Yes,Dynamic off-peak pricing;AI meal-builder;Freshness alerts;Chef livestreams & AR plating guides,No,4,3,2,5,Yes,10,Within 1 month,37,Loyalty points,Delivery speed,4
25-34,Woman,10-20k,2,52,0-1,Late night 22-02,45.52,5.7,Indian;Arab,1,4.7,High-protein,None,4,2,Yes,Freshness alerts;AI meal-builder;Mood-weather menu;Chef livestreams & AR plating guides;Group cart & split pay,Yes,4,3,4,2,Yes,9,Immediately,31,Free delivery,Price,2
35-44,Man,5-10k,3,53,2-3,Breakfast 6-10;Dinner 18-22;Lunch 11-14,56.96,8.3,Asian-street;Western-comfort;Desserts / Bakery,4,7.5,Vegan,None;Nuts,3,4,Maybe,Reusable-pack rewards;Freshness alerts;Mood-weather menu;Chef livestreams & AR plating guides;Group cart & split pay,Yes,3,5,3,3,Yes,5,Immediately,24,Free dessert add-on,Delivery speed,4
18-24,Man,20-35k,3,11,4-5,Late night 22-02;Dinner 18-22,59.08,6.5,Healthy bowls;Asian-street;Indian,2,8.6,Omnivore,None;Soy,4,4,Maybe,Reusable-pack rewards;Chef livestreams & AR plating guides;AI meal-builder;Dynamic off-peak pricing;Freshness alerts,No,2,3,3,4,Yes,1,After friends’ reviews,44,Loyalty points,Price,5
18-24,Woman,10-20k,2,10,0-1,Lunch 11-14;Dinner 18-22,46.61,5.3,Healthy bowls;Desserts / Bakery;Indian,3,8.7,Vegetarian,Nuts,4,3,No,Freshness alerts;AI meal-builder;Reusable-pack rewards;Community impact badges,Yes,3,4,3,4,Yes,5,Within 1 month,46,Off-peak % discount,Price,2
